Banglish,Bangla
ai post ti 8 may te facebook a kora (hoito ar ageo onno jaigai share kora hoyehilo),এই পোস্ট টি ৮ মে তে ফেইসবুক এ করা (হয়তো এর আগেও অন্য জায়গায় শেয়ার করা হয়েছিল)
Ai posta jodi 4bochor age hoto tahole aj ami single thaktam na,এই পোস্টটা যদি ৪বছর আগে হতো তাহলে আজ আমি সিঙ্গেল থাকতাম না
ai server Ami age I jani but kaj Kore na,এই সার্ভার আমি আগে ই জানি বাট কাজ করে না
"ai sob faltu loker karone tto post o kirte pari na, tuner toder boto abal der korbe na","এই সব ফালতু লোকের কারনে তো পোস্ট ও করতে পারি না, টিউনার তোদের মত আবাল দের করবে না"
Ai sobi onek age I dekhsi,এই সব অনেক আগে ই দেখছি
Ai songe full ta payajaba instamp3.netfree download kora jabe,এই সং ফুল টা পাইয়াযাবা ইন্সটাএমপি৩.নেট এ ফ্রি ডাউনলোড করা যাবে 
ai ta ami kono ak book a porcilam,এই টা আমি কোনো এক বুক এ পরছিলাম. 
Ai ta bujtaci na,এই টা বুজতাছি না
ai type ar logo banai kivaba?,এই টাইপ এর লোগো বানায় কিভাবে?
Ai Movie ar Hindi dubbe Utube a thakte Telugu te dekhbo keno.,এই মুভি এর হিন্দি ডাব ইউটিউব এ থাকতে তেলুগু তে দেখবো কেন. 
Aichha Vai app er nam bolen please.eta to play store link Download korte somoy lagbe.App name ta bolen google teke download korbo.Thanks,আইচ্ছা ভাই অ্যাপ এর নাম বলেন প্লিজ.এটা তো প্লে স্টোর লিংক ডাউনলোড করতে সময় লাগবে.অ্যাপ নাম টা বলেন গুগল থেকে ডাউনলোড করবো।থ্যাংকস
Aids er dialogue,এইডস এর ডায়লগ
Aigula bola.hature doctor,এইগুলা বলা.হাতুড়ে ডাক্তার
Aigula POst trickbd hoi.,এইগুলা পোস্ট ট্রিকবিডি হয়.
airokom aro movie chai,এইরকম আরো মুভি চাই
Airphone akdom new but use hoyese 10 din ar moto. Atate ki hobe?,ইয়ারফোন একদম নিউ বাট ইউজ হয়েছে ১০ দিন এর মতো। এটাতে কি হবে?
aishob approve hoy ki kore? R group er kotha onno post a bolte parten r apnar ai group er chaite hajar gun valo group fb te ase r tara specialist,এইসব এপ্রুভ হয় কি করে? আর গ্রুপ এর কথা অন্য পোস্ট এ বলতে পারতেন আর আপনার এই গ্রুপ এর চাইতে হাজার গুন ভালো গ্রুপ এফবি তে আছে আর তারা স্পেশালিষ্ট. 
"Aisob baal chaal Bollywood er movie na deche Hollywood,Korean ba Chinease movie dechen.","এইসব বাল ছাল বলিউডের মুভি না দেখে হলিউড,কোরিয়ান বা চাইনিজ মুভি দেখেন।"
"Aisob bosti parar bgrade er movie na diye Hollywood,Korean,Chinese movie den","এইসব বস্তি পাড়ার বিগ্রেড এর মুভি না দিয়ে হলিউড,কোরিয়ান,চাইনিজ মুভি দেন"
aisob jaina ki kono lav ase vai.amar to mone hoi na faltu post.,এইসব জাইনা কি কোনো লাভ আছে ভাই.আমার তো মনে হয় না ফালতু পোস্ট. 
Aita 50th tomo post. Nice na hole hoy,এইটা ৫০তম পোস্ট. নাইস না হলে হয়
Aita bola big budge movie,এইটা বলা বিগ বাজ মুভি 
aita hosse android root er motosob kag kora jay,এইটা হোচ্ছে এন্ড্রোইড রুট এর মতোসব কাজ করা যায়
aita kicu hoilo,এইটা কিছু হইলো
aitar moto palto movie ami ar deki nai.baje dubbed,এইটার মতো ফালতু মুভি আমি আর দেখি নাই।বাজে ডাবড
Aitato Onk Agei Dekhchi Bro,এইটাতো অনেক আগেই দেখছি ব্রো. 
aj ekta post korbo. sei post ta dekhben. taholei bujhte parben,আজ একটা পোস্ট করবো। সেই পোস্ট টা দেখবেন। তাহলেই বুঝতে পারবেন
aj naki boyshakhi tk te rongbaj movie dibe,আজ নাকি বৈশাখী টিকে তে রংবাজ মুভি দিবে 
ajaira post,আজাইরা পোস্ট
ajaira post diar jonno tuner korche apnare,আজাইরা পোস্ট দেয়ার জন্য টিউনার করছে আপনারে
ajira post,আজাইরা পোস্ট
ajke page keo massage diyen na.reply dite parbo na.,আজকে পেজ কেও ম্যাসেজ দিয়েন না। রিপ্লাই দিতে পারবো না। 
"ajkei playstore a guraguri korte korte app ta dekhchilam,ar aj e post o korlen.","আজকেই প্লেস্টোর এ ঘুরাঘুরি করতে করতে অ্যাপ টা দেখছিলাম,আর আজ ই পোস্ট ও করলেন। "
Ajob,আজব
ajon kotha batra,আজব কথা বার্তা
akash choa valobasha movir name,আকাশ ছোয়া ভালোবাসা মুভির নাম
Akdin sob bondo hbe tokhon bujben.,একদিন সব বন্ধ হবে তখন বুঝবেন. 
Akdom right,একদম রাইট. 
Akdom thak vai,একদম থাক ভাই
Akdom thik kotha,একদম ঠিক কথা
akebare kharap na tips gula,একেবারে খারাপ না টিপস গুলা
akhane abaler ki pailenna bujiye bolle author id haraben.,এখানে আবালের কি পাইলেননা বুঝিয়ে বললে অথর আইডি হারাবেন. 
Akhane moja kothay?,এখানে মজা কোথায়?
Akhn mod o pawa jbe nah,এখন মোড ও পাওয়া যাবে না
Akhon mota hoisen?,এখন মোটা হইছেন?
akhon projnto seta hole cole.,এখন পর্যন্ত সেটা হলে চলে.
akhon try koren. update kore disi,এখন ট্রাই করেন. আপডেট করে দিছি
akmatro tokai paad dilam na.thanks dilam.,একমাত্র তোকেই পাদ দিলাম না।থ্যাংকস দিলাম. 
Akta dekhi nai but download kora ase. Sobgulai osthir film ratsason best,একটা দেখি নাই বাট ডাউনলোড করা আছে. সবগুলাই অস্থির ফিল্ম রাত্সাসন বেস্ট
akti post koro shuni,একটি পোস্ট করো শুনি
akto bolben plz,একটু বলবেন প্লিজ
Alhamdulillah valo asi broyou?,আলহামদুলিল্লাহ ভালো আছি ব্রো  ইউ?
Alhamdulillah. Vai apnake onek dhonobad.,আলহামদুলিল্লাহ। ভাই আপনাকে অনেক ধন্যবাদ। 
